"","vaccine","state_name","vaccine_coverage_estimate"
"1","Rotavirus","North Dakota",77.2
"2","Rotavirus","Kansas",72.6
"3","Rotavirus","Nebraska",79
"4","Rotavirus","Iowa",77.7
"5","Rotavirus","Vermont",80.1
"6","Rotavirus","Colorado",70.5
"7","Rotavirus","Michigan",78.3
"8","Rotavirus","Maryland",81.4
"9","Rotavirus","Missouri",81.4
"10","Rotavirus","Georgia",72.1
"11","Rotavirus","Alaska",73.2
"12","Rotavirus","Puerto Rico",66
"13","Rotavirus","South Carolina",77.8
"14","Rotavirus","Pennsylvania",80.9
"15","Rotavirus","United States",75.4
"16","Rotavirus","Idaho",72.9
"17","Rotavirus","Illinois",72.3
"18","Rotavirus","Maine",72.6
"19","Rotavirus","Hawaii",72.9
"20","Rotavirus","Oklahoma",75.9
"21","Rotavirus","Montana",62.5
"22","Rotavirus","Texas",78.9
"23","Rotavirus","West Virginia",70.5
"24","Rotavirus","Wyoming",77.2
"25","Rotavirus","Nevada",67.9
"26","Rotavirus","Rhode Island",80.6
"27","Rotavirus","Delaware",68.1
"28","Rotavirus","Ohio",75.3
"29","Rotavirus","New Jersey",74.4
"30","Rotavirus","Virginia",77.4
"31","Rotavirus","Arizona",68
"32","Rotavirus","Kentucky",77
"33","Rotavirus","New Hampshire",80
"34","Rotavirus","Washington",78.1
"35","Rotavirus","Utah",76.1
"36","Rotavirus","Florida",69.6
"37","Rotavirus","North Carolina",84.1
"38","Rotavirus","New Mexico",71.1
"39","Rotavirus","Connecticut",85.5
"40","Rotavirus","Alabama",62.7
"41","Rotavirus","District of Columbia",76.7
"42","Rotavirus","Indiana",71.4
"43","Rotavirus","Arkansas",69
"44","Rotavirus","Massachusetts",94
"45","Rotavirus","Oregon",72.7
"46","Rotavirus","California",73
"47","Rotavirus","Minnesota",76.6
"48","Rotavirus","Louisiana",74.7
"49","Rotavirus","Mississippi",57.8
"50","Rotavirus","Tennessee",78.4
"51","Rotavirus","New York",72.8
"52","Rotavirus","South Dakota",76.5
"53","Rotavirus","Wisconsin",79.6
