"","state_fips_code","state_name","total_population"
"1","01","Alabama",5054253
"2","02","Alaska",733971
"3","04","Arizona",7268175
"4","05","Arkansas",3032651
"5","06","California",39242785
"6","08","Colorado",5810774
"7","09","Connecticut",3598348
"8","10","Delaware",1005872
"9","11","District of Columbia",672079
"10","12","Florida",21928881
"11","13","Georgia",10822590
"12","15","Hawaii",1445635
"13","16","Idaho",1893296
"14","17","Illinois",12692653
"15","18","Indiana",6811752
"16","19","Iowa",3195937
"17","20","Kansas",2937569
"18","21","Kentucky",4510725
"19","22","Louisiana",4621025
"20","23","Maine",1377400
"21","24","Maryland",6170738
"22","25","Massachusetts",6992395
"23","26","Michigan",10051595
"24","27","Minnesota",5713716
"25","28","Mississippi",2951438
"26","29","Missouri",6168181
"27","30","Montana",1105072
"28","31","Nebraska",1965926
"29","32","Nevada",3141000
"30","33","New Hampshire",1387834
"31","34","New Jersey",9267014
"32","35","New Mexico",2114768
"33","36","New York",19872319
"34","37","North Carolina",10584340
"35","38","North Dakota",779361
"36","39","Ohio",11780046
"37","40","Oklahoma",3995260
"38","41","Oregon",4238714
"39","42","Pennsylvania",12986518
"40","44","Rhode Island",1095371
"41","45","South Carolina",5212774
"42","46","South Dakota",899194
"43","47","Tennessee",6986082
"44","48","Texas",29640343
"45","49","Utah",3331187
"46","50","Vermont",645254
"47","51","Virginia",8657499
"48","53","Washington",7740984
"49","54","West Virginia",1784462
"50","55","Wisconsin",5892023
"51","56","Wyoming",579761
"52","72","Puerto Rico",3254885
"53","1","United States",332387540
